STT,Time,Ngày,Tháng,Năm,Ngày-tháng-năm,PM2.5,Nhiệt độ,Độ ẩm
1,01-10-2022 0:00,01,10,2022,01-10-2022,77.67,29.34,97.12
2,01-10-2022 1:00,01,10,2022,01-10-2022,66.45,29.27,98.23
3,01-10-2022 2:00,01,10,2022,01-10-2022,43.63,29.15,99.35
4,01-10-2022 3:00,01,10,2022,01-10-2022,34.88,29.08,99.33
5,01-10-2022 4:00,01,10,2022,01-10-2022,33.62,29.04,99.06
6,01-10-2022 5:00,01,10,2022,01-10-2022,26.12,28.83,99.16
7,01-10-2022 6:00,01,10,2022,01-10-2022,63.28,28.71,99.24
8,01-10-2022 7:00,01,10,2022,01-10-2022,57.76,28.46,99.27
9,01-10-2022 8:00,01,10,2022,01-10-2022,31.63,28.45,
10,01-10-2022 9:00,01,10,2022,01-10-2022,20.78,29.35,96.14
11,01-10-2022 10:00,01,10,2022,01-10-2022,11.78,29.7,94.53
12,01-10-2022 11:00,01,10,2022,01-10-2022,9.11,30.57,92.14
13,01-10-2022 12:00,01,10,2022,01-10-2022,5.9,30.96,90.34
14,01-10-2022 13:00,01,10,2022,01-10-2022,6.53,30.99,91.11
15,01-10-2022 14:00,01,10,2022,01-10-2022,4.53,31.64,87.88
16,01-10-2022 15:00,01,10,2022,01-10-2022,4.51,32.31,85.88
17,01-10-2022 16:00,01,10,2022,01-10-2022,5.18,32.38,86.73
18,01-10-2022 17:00,01,10,2022,01-10-2022,11,30.49,91.4
19,01-10-2022 18:00,01,10,2022,01-10-2022,19.15,30.06,92.67
20,01-10-2022 19:00,01,10,2022,01-10-2022,41.35,30.18,93.74
21,01-10-2022 20:00,01,10,2022,01-10-2022,10.42,29.49,93.11
22,01-10-2022 21:00,01,10,2022,01-10-2022,30.02,29.94,92.45
23,01-10-2022 22:00,01,10,2022,01-10-2022,86.96,30.12,92.82
24,01-10-2022 23:00,01,10,2022,01-10-2022,99.62,30,93.81
25,02-10-2022 0:00,02,10,2022,02-10-2022,75.23,29.86,94.58
26,02-10-2022 1:00,02,10,2022,02-10-2022,45.5,29.81,94.73
27,02-10-2022 2:00,02,10,2022,02-10-2022,61.04,29.76,94.91
28,02-10-2022 3:00,02,10,2022,02-10-2022,109.88,29.68,95.23
29,02-10-2022 4:00,02,10,2022,02-10-2022,71.52,29.48,95.96
30,02-10-2022 5:00,02,10,2022,02-10-2022,53.29,29.44,96.03
31,02-10-2022 6:00,02,10,2022,02-10-2022,46.09,29.35,96.22
32,02-10-2022 7:00,02,10,2022,02-10-2022,66.15,29.13,97.13
33,02-10-2022 8:00,02,10,2022,02-10-2022,65.73,29.14,97.49
34,02-10-2022 9:00,02,10,2022,02-10-2022,60,29.42,97.85
35,02-10-2022 10:00,02,10,2022,02-10-2022,19.7,29.92,96.2
36,02-10-2022 11:00,02,10,2022,02-10-2022,17.19,30.05,95.66
37,02-10-2022 12:00,02,10,2022,02-10-2022,13.48,29.98,96.4
38,02-10-2022 13:00,02,10,2022,02-10-2022,14.59,28.92,99.58
39,02-10-2022 14:00,02,10,2022,02-10-2022,15.59,28.81,99.54
40,02-10-2022 15:00,02,10,2022,02-10-2022,10.88,30.31,95.5
41,02-10-2022 16:00,02,10,2022,02-10-2022,8.5,30.22,94.14
42,02-10-2022 17:00,02,10,2022,02-10-2022,11.81,29.85,94.61
43,02-10-2022 18:00,02,10,2022,02-10-2022,22.04,29.62,94.61
44,02-10-2022 19:00,02,10,2022,02-10-2022,27.23,29.49,95.51
45,02-10-2022 20:00,02,10,2022,02-10-2022,11.29,29.32,94.92
46,02-10-2022 21:00,02,10,2022,02-10-2022,12.16,29.28,95.78
47,02-10-2022 22:00,02,10,2022,02-10-2022,25.42,29.35,96.31
48,02-10-2022 23:00,02,10,2022,02-10-2022,15.69,29.34,96.4
49,03-10-2022 0:00,03,10,2022,03-10-2022,17.8,29.25,96.67
50,03-10-2022 1:00,03,10,2022,03-10-2022,25.19,29.17,96.85
51,03-10-2022 2:00,03,10,2022,03-10-2022,36.6,29.07,97.05
52,03-10-2022 3:00,03,10,2022,03-10-2022,151.06,28.98,97.27
53,03-10-2022 4:00,03,10,2022,03-10-2022,197.66,28.89,97.55
54,03-10-2022 5:00,03,10,2022,03-10-2022,241.98,28.77,98.16
55,03-10-2022 6:00,03,10,2022,03-10-2022,264.79,28.72,98.31
56,03-10-2022 7:00,03,10,2022,03-10-2022,150.08,28.69,98.47
57,03-10-2022 8:00,03,10,2022,03-10-2022,26.14,28.81,97.47
58,03-10-2022 9:00,03,10,2022,03-10-2022,17.36,29.44,95.1
59,03-10-2022 10:00,03,10,2022,03-10-2022,14.4,30.23,91
60,03-10-2022 11:00,03,10,2022,03-10-2022,12.03,31.08,88.35
61,03-10-2022 12:00,03,10,2022,03-10-2022,10.38,31.5,86.68
62,03-10-2022 13:00,03,10,2022,03-10-2022,9.77,31.59,87.32
63,03-10-2022 14:00,03,10,2022,03-10-2022,5.94,31.48,88.2
64,03-10-2022 15:00,03,10,2022,03-10-2022,13.29,31.02,92.57
65,03-10-2022 16:00,03,10,2022,03-10-2022,15.49,30.96,88.6
66,03-10-2022 17:00,03,10,2022,03-10-2022,15.59,30.79,90.78
67,03-10-2022 18:00,03,10,2022,03-10-2022,9.01,30.53,90.92
68,03-10-2022 19:00,03,10,2022,03-10-2022,21.46,30.48,91.73
69,03-10-2022 20:00,03,10,2022,03-10-2022,45.89,30.38,92.94
70,03-10-2022 21:00,03,10,2022,03-10-2022,32.48,30.31,93.82
71,03-10-2022 22:00,03,10,2022,03-10-2022,26.87,30.16,94.52
72,03-10-2022 23:00,03,10,2022,03-10-2022,83.55,30.2,94.92
73,04-10-2022 0:00,04,10,2022,04-10-2022,99.55,30.14,95.22
74,04-10-2022 1:00,04,10,2022,04-10-2022,87.55,29.97,95.43
75,04-10-2022 2:00,04,10,2022,04-10-2022,85.99,29.81,96.04
76,04-10-2022 3:00,04,10,2022,04-10-2022,155.19,29.59,96.82
77,04-10-2022 4:00,04,10,2022,04-10-2022,293.66,29.35,97.23
78,04-10-2022 5:00,04,10,2022,04-10-2022,166.19,29.11,97.63
79,04-10-2022 6:00,04,10,2022,04-10-2022,131.91,28.94,97.94
80,04-10-2022 7:00,04,10,2022,04-10-2022,81.94,28.59,98.56
81,04-10-2022 8:00,04,10,2022,04-10-2022,54.73,28.57,99.07
82,04-10-2022 9:00,04,10,2022,04-10-2022,39.3,29.51,96.1
83,04-10-2022 10:00,04,10,2022,04-10-2022,43.82,29.62,96.08
84,04-10-2022 11:00,04,10,2022,04-10-2022,47.21,30.19,93.71
85,04-10-2022 12:00,04,10,2022,04-10-2022,50.18,30.56,92.62
86,04-10-2022 13:00,04,10,2022,04-10-2022,49.5,30.69,91.67
87,04-10-2022 14:00,04,10,2022,04-10-2022,44.2,31.09,91.35
88,04-10-2022 15:00,04,10,2022,04-10-2022,44.61,31.45,91.17
89,04-10-2022 16:00,04,10,2022,04-10-2022,23.21,31.47,88.78
90,04-10-2022 17:00,04,10,2022,04-10-2022,14.62,31,87.19
91,04-10-2022 18:00,04,10,2022,04-10-2022,14.21,30.91,84.06
92,04-10-2022 19:00,04,10,2022,04-10-2022,13.97,30.74,85.73
93,04-10-2022 20:00,04,10,2022,04-10-2022,13.28,30.47,87.72
94,04-10-2022 21:00,04,10,2022,04-10-2022,14.23,30.38,88.03
95,04-10-2022 22:00,04,10,2022,04-10-2022,40.68,30.24,89.54
96,04-10-2022 23:00,04,10,2022,04-10-2022,46.47,30.18,90.83
97,05-10-2022 0:00,05,10,2022,05-10-2022,38.04,29.96,92.41
98,05-10-2022 1:00,05,10,2022,05-10-2022,24.29,29.85,92.08
99,05-10-2022 2:00,05,10,2022,05-10-2022,88.5,29.8,92.35
100,05-10-2022 3:00,05,10,2022,05-10-2022,66.18,29.65,92.83
101,05-10-2022 4:00,05,10,2022,05-10-2022,68.73,29.35,93.63
102,05-10-2022 5:00,05,10,2022,05-10-2022,29.54,29.25,94.16
103,05-10-2022 6:00,05,10,2022,05-10-2022,236.15,29.19,95.02
104,05-10-2022 7:00,05,10,2022,05-10-2022,179.63,28.93,96.17
105,05-10-2022 8:00,05,10,2022,05-10-2022,94.87,28.76,98.65
106,05-10-2022 9:00,05,10,2022,05-10-2022,63.21,29.86,93.07
107,05-10-2022 10:00,05,10,2022,05-10-2022,24.19,30.82,87.08
108,05-10-2022 11:00,05,10,2022,05-10-2022,13.1,31.58,83.74
109,05-10-2022 12:00,05,10,2022,05-10-2022,10.51,32.03,83.12
110,05-10-2022 13:00,05,10,2022,05-10-2022,11.42,30.99,88.62
111,05-10-2022 14:00,05,10,2022,05-10-2022,62.79,29.81,98.35
112,05-10-2022 15:00,05,10,2022,05-10-2022,43.49,30.79,94.94
113,05-10-2022 16:00,05,10,2022,05-10-2022,5.48,30.77,88.49
114,05-10-2022 17:00,05,10,2022,05-10-2022,10.57,30.71,90.7
115,05-10-2022 18:00,05,10,2022,05-10-2022,11.82,30.74,89.41
116,05-10-2022 19:00,05,10,2022,05-10-2022,9.91,30.59,89.86
117,05-10-2022 20:00,05,10,2022,05-10-2022,19.71,30.55,91.79
118,05-10-2022 21:00,05,10,2022,05-10-2022,10.49,30.34,91.54
119,05-10-2022 22:00,05,10,2022,05-10-2022,9.86,30.16,90.83
120,05-10-2022 23:00,05,10,2022,05-10-2022,7.4,30.03,91.18
121,06-10-2022 0:00,06,10,2022,06-10-2022,7.08,29.89,92.97
122,06-10-2022 1:00,06,10,2022,06-10-2022,8.72,29.76,92.86
123,06-10-2022 2:00,06,10,2022,06-10-2022,9.91,29.74,92.72
124,06-10-2022 3:00,06,10,2022,06-10-2022,36.71,29.66,93.52
125,06-10-2022 4:00,06,10,2022,06-10-2022,139.38,29.52,95.67
126,06-10-2022 5:00,06,10,2022,06-10-2022,104.15,29.31,95.83
127,06-10-2022 6:00,06,10,2022,06-10-2022,66.88,29.2,95.69
128,06-10-2022 7:00,06,10,2022,06-10-2022,59.77,29.15,95.66
129,06-10-2022 8:00,06,10,2022,06-10-2022,47.27,29.15,96.3
130,06-10-2022 9:00,06,10,2022,06-10-2022,36.82,29.87,93.88
131,06-10-2022 10:00,06,10,2022,06-10-2022,12.07,30.43,91.28
132,06-10-2022 11:00,06,10,2022,06-10-2022,14.98,30.6,91.21
133,06-10-2022 12:00,06,10,2022,06-10-2022,8.84,30.44,90.57
134,06-10-2022 13:00,06,10,2022,06-10-2022,6.26,30.09,92.86
135,06-10-2022 14:00,06,10,2022,06-10-2022,7.28,30.31,93.19
136,06-10-2022 15:00,06,10,2022,06-10-2022,6.54,30.62,94.2
137,06-10-2022 16:00,06,10,2022,06-10-2022,6.57,30.78,94.32
138,06-10-2022 17:00,06,10,2022,06-10-2022,9.99,30.73,93.06
139,06-10-2022 18:00,06,10,2022,06-10-2022,43.54,30.44,92.69
140,06-10-2022 19:00,06,10,2022,06-10-2022,37.65,30.34,92.69
141,06-10-2022 20:00,06,10,2022,06-10-2022,52.6,30.36,92.71
142,06-10-2022 21:00,06,10,2022,06-10-2022,46.9,30.26,93.04
143,06-10-2022 22:00,06,10,2022,06-10-2022,61.08,30.12,93.37
144,06-10-2022 23:00,06,10,2022,06-10-2022,155.53,29.96,93.9
145,07-10-2022 0:00,07,10,2022,07-10-2022,289.16,29.86,94.44
146,07-10-2022 1:00,07,10,2022,07-10-2022,279.57,29.81,94.54
147,07-10-2022 2:00,07,10,2022,07-10-2022,356.48,29.64,95.26
148,07-10-2022 3:00,07,10,2022,07-10-2022,440.51,29.34,96.46
149,07-10-2022 4:00,07,10,2022,07-10-2022,281.46,29,96.93
150,07-10-2022 5:00,07,10,2022,07-10-2022,123.38,28.98,96.13
151,07-10-2022 6:00,07,10,2022,07-10-2022,133.1,28.77,96.7
152,07-10-2022 7:00,07,10,2022,07-10-2022,114.25,28.7,97.27
153,07-10-2022 8:00,07,10,2022,07-10-2022,75.09,28.71,97.57
154,07-10-2022 9:00,07,10,2022,07-10-2022,54.79,29.58,94.18
155,07-10-2022 10:00,07,10,2022,07-10-2022,62.68,30.22,92.96
156,07-10-2022 11:00,07,10,2022,07-10-2022,61.82,30.85,89.87
157,07-10-2022 12:00,07,10,2022,07-10-2022,58.93,31.51,88.5
158,07-10-2022 13:00,07,10,2022,07-10-2022,58.25,31.79,87.09
159,07-10-2022 14:00,07,10,2022,07-10-2022,40.75,32.12,85.17
160,07-10-2022 15:00,07,10,2022,07-10-2022,16.12,31.26,87.64
161,07-10-2022 16:00,07,10,2022,07-10-2022,26.98,29.47,96.36
162,07-10-2022 17:00,07,10,2022,07-10-2022,51.92,30.16,96.25
163,07-10-2022 18:00,07,10,2022,07-10-2022,39.96,30.47,95.33
164,07-10-2022 19:00,07,10,2022,07-10-2022,42.02,30.32,95.35
165,07-10-2022 20:00,07,10,2022,07-10-2022,36.4,30.39,95.52
166,07-10-2022 21:00,07,10,2022,07-10-2022,46.32,30.28,95.89
167,07-10-2022 22:00,07,10,2022,07-10-2022,85.47,30.1,96.5
168,07-10-2022 23:00,07,10,2022,07-10-2022,236.06,29.91,97.23
169,08-10-2022 0:00,08,10,2022,08-10-2022,164.08,29.59,97.9
170,08-10-2022 1:00,08,10,2022,08-10-2022,154.82,29.25,98.77
171,08-10-2022 2:00,08,10,2022,08-10-2022,259.45,29.26,98.18
172,08-10-2022 3:00,08,10,2022,08-10-2022,191.88,28.87,98.86
173,08-10-2022 4:00,08,10,2022,08-10-2022,117.88,28.68,98.75
174,08-10-2022 5:00,08,10,2022,08-10-2022,98.31,28.53,99.27
175,08-10-2022 6:00,08,10,2022,08-10-2022,43.92,28.51,99.18
176,08-10-2022 7:00,08,10,2022,08-10-2022,25.86,28.35,98.47
177,08-10-2022 8:00,08,10,2022,08-10-2022,32.34,27.72,
178,08-10-2022 9:00,08,10,2022,08-10-2022,23.23,27.89,99.16
179,08-10-2022 10:00,08,10,2022,08-10-2022,20.7,28.25,99.65
180,08-10-2022 11:00,08,10,2022,08-10-2022,8.27,28.45,98.5
181,08-10-2022 12:00,08,10,2022,08-10-2022,10.21,28.29,99.13
182,08-10-2022 13:00,08,10,2022,08-10-2022,11.65,27.72,
183,08-10-2022 14:00,08,10,2022,08-10-2022,11.14,27.74,
184,08-10-2022 15:00,08,10,2022,08-10-2022,52.39,28.16,
185,08-10-2022 16:00,08,10,2022,08-10-2022,58.71,28.23,
186,08-10-2022 17:00,08,10,2022,08-10-2022,76.32,28.39,
187,08-10-2022 18:00,08,10,2022,08-10-2022,82.87,28.58,
188,08-10-2022 19:00,08,10,2022,08-10-2022,89.53,28.51,
189,08-10-2022 20:00,08,10,2022,08-10-2022,86.62,28.29,
190,08-10-2022 21:00,08,10,2022,08-10-2022,106.42,28.25,
191,08-10-2022 22:00,08,10,2022,08-10-2022,127.22,28.21,
192,08-10-2022 23:00,08,10,2022,08-10-2022,138.81,28.18,
193,09-10-2022 0:00,09,10,2022,09-10-2022,123.77,27.84,
194,09-10-2022 1:00,09,10,2022,09-10-2022,122.91,27.63,
195,09-10-2022 2:00,09,10,2022,09-10-2022,100.97,27.61,
196,09-10-2022 3:00,09,10,2022,09-10-2022,70.28,27.4,
197,09-10-2022 4:00,09,10,2022,09-10-2022,67.33,27.45,
198,09-10-2022 5:00,09,10,2022,09-10-2022,60.16,27.54,
199,09-10-2022 6:00,09,10,2022,09-10-2022,109.37,27.56,
200,09-10-2022 7:00,09,10,2022,09-10-2022,135.24,27.52,
201,09-10-2022 8:00,09,10,2022,09-10-2022,163.61,26.98,
202,09-10-2022 9:00,09,10,2022,09-10-2022,115.18,27.58,
203,09-10-2022 10:00,09,10,2022,09-10-2022,81.58,28,
204,09-10-2022 11:00,09,10,2022,09-10-2022,58.69,28.46,98.74
205,09-10-2022 12:00,09,10,2022,09-10-2022,66.54,28.41,98.68
206,09-10-2022 13:00,09,10,2022,09-10-2022,46.65,28.85,96.67
207,09-10-2022 14:00,09,10,2022,09-10-2022,126.92,28.97,98.69
208,09-10-2022 15:00,09,10,2022,09-10-2022,76.32,29.04,98.72
209,09-10-2022 16:00,09,10,2022,09-10-2022,67.06,29.4,97.92
210,09-10-2022 17:00,09,10,2022,09-10-2022,60.34,29.25,98.33
211,09-10-2022 18:00,09,10,2022,09-10-2022,48.38,28.95,98.85
212,09-10-2022 19:00,09,10,2022,09-10-2022,61.12,28.67,99.78
213,09-10-2022 20:00,09,10,2022,09-10-2022,43.66,28.58,99.82
214,09-10-2022 21:00,09,10,2022,09-10-2022,36.37,28.34,
215,09-10-2022 22:00,09,10,2022,09-10-2022,38.35,28.4,
216,09-10-2022 23:00,09,10,2022,09-10-2022,36.41,28.08,
217,10-10-2022 0:00,10,10,2022,10-10-2022,56.72,27.99,
218,10-10-2022 1:00,10,10,2022,10-10-2022,77.78,28.06,
219,10-10-2022 2:00,10,10,2022,10-10-2022,53.6,27.77,
220,10-10-2022 3:00,10,10,2022,10-10-2022,10.68,27.52,
221,10-10-2022 4:00,10,10,2022,10-10-2022,9.68,27.51,
222,10-10-2022 5:00,10,10,2022,10-10-2022,23.46,27.35,
223,10-10-2022 6:00,10,10,2022,10-10-2022,45.2,27.35,
224,10-10-2022 7:00,10,10,2022,10-10-2022,58.36,27.37,
225,10-10-2022 8:00,10,10,2022,10-10-2022,26.96,27.4,
226,10-10-2022 9:00,10,10,2022,10-10-2022,18.84,27.67,99.17
227,10-10-2022 10:00,10,10,2022,10-10-2022,52.79,27.98,98.83
228,10-10-2022 11:00,10,10,2022,10-10-2022,63.67,28.52,96.21
229,10-10-2022 12:00,10,10,2022,10-10-2022,49.34,29.26,93.3
230,10-10-2022 13:00,10,10,2022,10-10-2022,29.94,29.83,91.19
231,10-10-2022 14:00,10,10,2022,10-10-2022,29.66,30.43,93.02
232,10-10-2022 15:00,10,10,2022,10-10-2022,25.62,30.88,91.36
233,10-10-2022 16:00,10,10,2022,10-10-2022,21.24,31.01,95.66
234,10-10-2022 17:00,10,10,2022,10-10-2022,22.65,31.51,94.29
235,10-10-2022 18:00,10,10,2022,10-10-2022,27.12,30.94,93.59
236,10-10-2022 19:00,10,10,2022,10-10-2022,25.33,30.21,92.38
237,10-10-2022 20:00,10,10,2022,10-10-2022,36.85,29.61,93.2
238,10-10-2022 21:00,10,10,2022,10-10-2022,28.98,28.61,95.12
239,10-10-2022 22:00,10,10,2022,10-10-2022,53.47,28.66,93.09
240,10-10-2022 23:00,10,10,2022,10-10-2022,121.14,28.86,92.86
241,11-10-2022 0:00,11,10,2022,11-10-2022,38.05,28.46,93.53
242,11-10-2022 1:00,11,10,2022,11-10-2022,12.23,28.33,94.18
243,11-10-2022 2:00,11,10,2022,11-10-2022,21.09,28.34,94.38
244,11-10-2022 3:00,11,10,2022,11-10-2022,47.61,28.6,94.51
245,11-10-2022 4:00,11,10,2022,11-10-2022,94.86,28.56,94.9
246,11-10-2022 5:00,11,10,2022,11-10-2022,231.98,28.31,96.41
247,11-10-2022 6:00,11,10,2022,11-10-2022,164.54,28.22,97.55
248,11-10-2022 7:00,11,10,2022,11-10-2022,77.23,28.05,98.31
249,11-10-2022 8:00,11,10,2022,11-10-2022,73.25,26.99,
250,11-10-2022 9:00,11,10,2022,11-10-2022,56.03,27.73,99.28
251,11-10-2022 10:00,11,10,2022,11-10-2022,34.31,28.54,97.57
252,11-10-2022 11:00,11,10,2022,11-10-2022,25.04,29.33,93.49
253,11-10-2022 12:00,11,10,2022,11-10-2022,32.57,29.74,91.36
254,11-10-2022 13:00,11,10,2022,11-10-2022,16.22,30.17,88.91
255,11-10-2022 14:00,11,10,2022,11-10-2022,8.5,30.6,86.97
256,11-10-2022 15:00,11,10,2022,11-10-2022,8.23,30.78,87.85
257,11-10-2022 16:00,11,10,2022,11-10-2022,16.32,30.78,90.6
258,11-10-2022 17:00,11,10,2022,11-10-2022,20.84,30.3,94.54
259,11-10-2022 18:00,11,10,2022,11-10-2022,12.75,28.95,97.2
260,11-10-2022 19:00,11,10,2022,11-10-2022,14.3,29.28,95.5
261,11-10-2022 20:00,11,10,2022,11-10-2022,21.92,29.62,94.92
262,11-10-2022 21:00,11,10,2022,11-10-2022,30.97,29.47,95.84
263,11-10-2022 22:00,11,10,2022,11-10-2022,24.28,29.3,96.56
264,11-10-2022 23:00,11,10,2022,11-10-2022,32.72,29.17,97.28
265,12-10-2022 0:00,12,10,2022,12-10-2022,66.87,28.98,98.22
266,12-10-2022 1:00,12,10,2022,12-10-2022,48.96,28.61,98.38
267,12-10-2022 2:00,12,10,2022,12-10-2022,56.23,28.54,97.96
268,12-10-2022 3:00,12,10,2022,12-10-2022,43.34,28.26,97.98
269,12-10-2022 4:00,12,10,2022,12-10-2022,47.72,28.16,98.02
270,12-10-2022 5:00,12,10,2022,12-10-2022,53.39,28.22,97.47
271,12-10-2022 6:00,12,10,2022,12-10-2022,95.51,27.9,98.27
272,12-10-2022 7:00,12,10,2022,12-10-2022,64.67,27.5,98.81
273,12-10-2022 8:00,12,10,2022,12-10-2022,45.28,27.61,99.3
274,12-10-2022 9:00,12,10,2022,12-10-2022,28.36,29,95.6
275,12-10-2022 10:00,12,10,2022,12-10-2022,12.87,30.07,90.32
276,12-10-2022 11:00,12,10,2022,12-10-2022,13.15,30.87,86.77
277,12-10-2022 12:00,12,10,2022,12-10-2022,9.56,31.54,83.22
278,12-10-2022 13:00,12,10,2022,12-10-2022,12.61,31.58,83.39
279,12-10-2022 14:00,12,10,2022,12-10-2022,13.87,31.72,83.79
280,12-10-2022 15:00,12,10,2022,12-10-2022,13.92,32.21,82.17
281,12-10-2022 16:00,12,10,2022,12-10-2022,25.63,31.95,83.46
282,12-10-2022 17:00,12,10,2022,12-10-2022,38.88,31.85,84.29
283,12-10-2022 18:00,12,10,2022,12-10-2022,54.54,31.79,86.93
284,12-10-2022 19:00,12,10,2022,12-10-2022,70.89,31.49,91.48
285,12-10-2022 20:00,12,10,2022,12-10-2022,67.92,31.23,93.3
286,12-10-2022 21:00,12,10,2022,12-10-2022,57.98,30.84,94.75
287,12-10-2022 22:00,12,10,2022,12-10-2022,48.22,30.58,94.91
288,12-10-2022 23:00,12,10,2022,12-10-2022,41.25,30.32,94.72
289,13-10-2022 0:00,13,10,2022,13-10-2022,43.79,30.42,94.42
290,13-10-2022 1:00,13,10,2022,13-10-2022,43.61,30.36,94.33
291,13-10-2022 2:00,13,10,2022,13-10-2022,50.39,30.14,94.5
292,13-10-2022 3:00,13,10,2022,13-10-2022,53.81,29.94,94.66
293,13-10-2022 4:00,13,10,2022,13-10-2022,57.47,29.79,94.89
294,13-10-2022 5:00,13,10,2022,13-10-2022,84.15,29.61,95.22
295,13-10-2022 6:00,13,10,2022,13-10-2022,125.75,29.36,94.7
296,13-10-2022 7:00,13,10,2022,13-10-2022,136.16,29.03,94.46
297,13-10-2022 8:00,13,10,2022,13-10-2022,86.33,28.12,98.3
298,13-10-2022 9:00,13,10,2022,13-10-2022,38.69,28.98,93.15
299,13-10-2022 10:00,13,10,2022,13-10-2022,37.46,29.39,91.28
300,13-10-2022 11:00,13,10,2022,13-10-2022,25.35,30.46,85.23
301,13-10-2022 12:00,13,10,2022,13-10-2022,24.79,30.94,83.53
302,13-10-2022 13:00,13,10,2022,13-10-2022,18.68,31.71,80.93
303,13-10-2022 14:00,13,10,2022,13-10-2022,16.41,32.22,78.33
304,13-10-2022 15:00,13,10,2022,13-10-2022,22.36,32.12,78.39
305,13-10-2022 16:00,13,10,2022,13-10-2022,30.24,31.86,79.52
306,13-10-2022 17:00,13,10,2022,13-10-2022,30.84,31.89,80.02
307,13-10-2022 18:00,13,10,2022,13-10-2022,143.2,31.43,82.78
308,13-10-2022 19:00,13,10,2022,13-10-2022,141.96,31.15,85.13
309,13-10-2022 20:00,13,10,2022,13-10-2022,111,31.03,86.87
310,13-10-2022 21:00,13,10,2022,13-10-2022,82.72,31.04,87.73
311,13-10-2022 22:00,13,10,2022,13-10-2022,264.92,30.99,88.73
312,13-10-2022 23:00,13,10,2022,13-10-2022,209.4,30.6,90.51
313,14-10-2022 0:00,14,10,2022,14-10-2022,81.58,30.1,92.77
314,14-10-2022 1:00,14,10,2022,14-10-2022,87.31,29.86,93.59
315,14-10-2022 2:00,14,10,2022,14-10-2022,48.47,31.69,94.92
316,14-10-2022 3:00,14,10,2022,14-10-2022,31.26,31.61,95.58
317,14-10-2022 4:00,14,10,2022,14-10-2022,31.26,31.25,97.21
318,14-10-2022 5:00,14,10,2022,14-10-2022,56.97,31.44,97.18
319,14-10-2022 6:00,14,10,2022,14-10-2022,136.36,31.5,97.31
320,14-10-2022 7:00,14,10,2022,14-10-2022,75.7,31.14,97.28
321,14-10-2022 8:00,14,10,2022,14-10-2022,40.3,30.19,98.93
322,14-10-2022 9:00,14,10,2022,14-10-2022,44.58,28.36,98.69
323,14-10-2022 10:00,14,10,2022,14-10-2022,32.04,29.03,96.83
324,14-10-2022 11:00,14,10,2022,14-10-2022,35.48,29.76,92.61
325,14-10-2022 12:00,14,10,2022,14-10-2022,39.46,30.98,92.61
